0 0 0.000100109
0.0277778 0.108025 0.108893
0.0555556 0.209877 0.211638
0.0833333 0.305556 0.308148
0.111111 0.395062 0.398411
0.138889 0.478395 0.482434
0.166667 0.555556 0.560221
0.194444 0.626543 0.631774
0.222222 0.691358 0.697096
0.25 0.75 0.75619
0.277778 0.802469 0.809056
0.305556 0.848765 0.855699
0.333333 0.888889 0.896118
0.361111 0.92284 0.930316
0.388889 0.950617 0.958294
0.416667 0.972222 0.980053
0.444444 0.987654 0.995595
0.472222 0.996914 1.00492
0.5 1 1.00803
0.527778 0.996914 1.00492
0.555556 0.987654 0.995595
0.583333 0.972222 0.980054
0.611111 0.950617 0.958294
0.638889 0.92284 0.930316
0.666667 0.888889 0.896119
0.694444 0.848765 0.8557
0.722222 0.802469 0.809058
0.75 0.75 0.756191
0.777778 0.691358 0.697097
0.805556 0.626543 0.631775
0.833333 0.555556 0.560222
0.861111 0.478395 0.482435
0.888889 0.395062 0.398412
0.916667 0.305556 0.308149
0.944444 0.209877 0.211638
0.972222 0.108025 0.108894
1 0 0.000100221
